external_id,unique_id,expiry_days
22161242,S-1OT7RGDNZR,1
22160393,S-MTN4TYAPDR,1
22160392,S-YYTEZVN7A5,0
22160391,S-S4YDMYYRMP,2
22160389,S-3XAT3RL8RE,1
22160388,S-YYETBBO7SV,1
22157448,S-32X7DROCB3,1
22157442,S-CCY665HEL2,1
22157417,S-DYPSSBRR8V,1
22157403,S-TAMRMNRO0B,1
22157361,S-ORN69YSSLR,1
22157336,S-4Y2PZRCTBS,1
22157298,S-X4DMYEGTTR,1
22157176,S-D6NROETRTO,0
22157168,S-5SC9T0TB5C,1
22157159,S-PRLL7VSN1M,0
22157142,S-CBOAGTTRAI,0
22157136,S-M4DDPRYMVR,0
22157130,S-NSRTTDVB3S,1
22157123,S-PR7N5TSOTY,0
22157082,S-S0ACY993OD,0
22157053,S-DSA1ECSDYM,1
22157050,S-0PG6B91DRR,1
22156262,S-9BSH1RLOTR,1
22156238,S-BAVDYCSTTR,0
22156236,S-R0E2B1YETR,0
22156232,S-SRM5TLDSBI,0
22156231,S-1NSPOR8RNC,0
22156211,S-RRTCYYBR8R,0
22156203,S-DSDN0RXYAA,1
22156200,S-ESIORDARHY,0
22156185,S-TTOHOPZBNR,0
22156161,S-DXY4YMDQOA,0
22156102,S-RRCOXSBRC4,1
22156100,S-2BEOYOM1MT,1
22156096,S-8VS2S2BRAT,1
22156088,S-MX7MC26YPO,0
22156084,S-RSIYCTYSES,0
22156082,S-RPSRDTO3LN,1
22156078,S-V5BCBRDGCS,0
22156061,S-DTBXE5R9RR,1
22156055,S-OLAR5R9BMS,0
22156045,S-XTRQERER1T,1
22156023,S-OMRYRANO9Y,0
22156008,S-YRSMNBSSTM,1
22155998,S-RNLBD2HR9R,1
22155912,S-MNSSTELMVN,0
22155910,S-YRARBEROND,1
22155898,S-NYZXNCOSOT,0
22155890,S-RR0TRD9T21,1
22155873,S-S0EYNTOTNN,1
22155862,S-NCSMRGQE1Y,0
22155847,S-LVNSNNT9ED,1
22155841,S-12DTO6DTCD,1
22155834,S-TBSYRB2VRD,0
22155814,S-OMRRV42XSG,1
22155806,S-RYRTXT4YBS,0
22155783,S-R17PEROAN7,1
22155753,S-EBSDRSPVSZ,0
22155744,S-EC4PNDLGCC,1
22155729,S-6SSDADCTO3,0
22155657,S-8L4YPXYR1R,1
22155640,S-PS7BETR4CA,1
22155622,S-6DRDBRBCAN,1
22155610,S-DDHDQXADRZ,1
22155604,S-DA4EDA8LRX,0
22155596,S-OE89BRRORC,1
22155584,S-DTAPT3DQ4R,1
22155580,S-TBBRIBDE5R,0
22155569,S-2TQS2YEQD6,0
22155540,S-CRBTYNRMSR,0
22155519,S-DLRSBTCROA,22
22155473,S-TSR82TRSPL,0
22155423,S-SSTPOIPDTR,1
22155369,S-AAYPTNGPRM,0
22151757,S-ANDYVBP1LT,1
22151753,S-M7VONIBEN3,1
22151725,S-CD2ORG2L52,1
22151719,S-GATXRTDZRD,1
22151704,S-BETTLDOP6O,1
22151668,S-SS599P02DY,1
22151657,S-RMR6XSTTDM,1
22151630,S-41T9ET6BPZ,1
22151597,S-E6NDEETSYN,1
22151584,S-BLD51RORNA,1
22151576,S-NCRMBARY8T,1
22151555,S-BNBSRYOO8T,1
22151528,S-TNP9R4YDSS,1
22151511,S-OQZ3AQPORR,1
22151505,S-ETVAEBNEDR,1
22151497,S-NMTTMTSQEE,1
22151447,S-1R08D3CDYY,1
22151421,S-9MBRMRDE07,1
22151419,S-TRGD2RCOEZ,1
22151407,S-IAE2RRNTOB,1
22151403,S-BXO9OTROE9,1
22151397,S-B4YROMXBOD,1
22151387,S-SRCYS9RNIR,1
22151384,S-L86RAQOANO,1
22151368,S-YOOQNDA7TR,1
22151362,S-RSOPSY3STD,1
22151355,S-ROATRMLEYR,1
22151352,S-OPEREYDQEM,1
22151349,S-BRYTN7AH6S,1
22151338,S-YMLTYLGRA1,1
22151322,S-XMROR3A0ES,1
22151317,S-Y89SAR8SO2,1
22151310,S-RSO5LT16AO,1
22151304,S-4RDLY9TTO6,1
22150941,S-TM9NNAXSHL,1
22150913,S-YE3O8RNTTM,1
22150889,S-C8RMYRRNGB,1
22150874,S-ORI8RCTP4C,1
22150851,S-BERRP24AT9,1
22150833,S-TT4DRYB0LI,1
22150814,S-TS1D3NSYO0,1
22150801,S-7ORR3I8TAD,1
22150789,S-DYM7ATC5IX,1
22150693,S-RCHR7DTHCC,1
22150675,S-DSSLRMIR0S,1
22150614,S-2LCE3TGY0M,1
22150582,S-NTYPSDQTMB,1
22150575,S-IPRNRYT0MY,1
22150568,S-PY716ONB9X,1
22150559,S-0EOSSAEDML,1
22150528,S-2CRNOERBRT,1
22150513,S-VVSASNO387,1
22150505,S-AYGM4DXSRM,1
22149885,S-BTY5R42Z61,0
22149883,S-TYDN1ETRER,0
22149874,S-BST0GMDTOD,0
22149841,S-BSDSDY2E4R,0
22149838,S-1BTRNLCY1T,0
22149537,S-YVBTVOA6ER,1
22149457,S-SYMTZPTSSZ,0
22149404,S-RSRCOO72SA,0
22149388,S-OMACM7BSS0,0
22149313,S-RYSZT45SMR,0
22149261,S-22OYSD6B50,0
22148541,S-L0NXQTVO0T,0
22148534,S-IG2TH2OTP0,0
22148512,S-SENCRT03OP,0
22148510,S-OZG7AOMPSP,0
22148498,S-YL0ZNTZYNN,0
22148480,S-RNROOH6ELE,0
22148473,S-RBOITSDDTV,0
22148464,S-C6YPV1ESTH,0
22148425,S-ORRDBRMTDR,0
22148419,S-YODEVYSYDY,0
22148389,S-LSG3YCSBON,0
22148363,S-OTSS5QSRYR,0
22148343,S-Q9EEEREAD6,0
22148305,S-TSZ4DXTCRO,0
22148304,S-6OTXZOSYMD,0
22148297,S-IDOAGOTYMO,0
22148282,S-01DXSB5NGR,0
22148266,S-IX4ARRHQLS,0
22148256,S-TY5EX5NCYT,0
22148245,S-CBZTRAT8LO,0
22148244,S-EPXANSYYTD,0
22148239,S-TOS5G7OQY7,0
22148235,S-TRLYX3YSNA,0
22148220,S-RBLDBT1049,0
22148218,S-YBNBEYASCP,0
22148166,S-0EYPNNCBYM,0
22148164,S-HDMORYXCTN,0
22148162,S-HBX2HPRL5Y,0
22148148,S-LOTSECTL8C,0
22148143,S-4OP0BVLPDD,0
22148137,S-AXTA5DDQIQ,0
22148095,S-RA3LSSBN4M,0
22148092,S-VRVSTCBRRB,0
22148088,S-IPDTE5SV7G,0
22148086,S-XORNTAE899,0
22148084,S-YZO7AQOTNC,0
22148083,S-OT6SRZNBL5,0
22148080,S-2DR5CGBOPA,0
22148041,S-C2NAQDYBDI,0
22148034,S-EL1RBCYEPE,0
22148021,S-V7XYTPNTST,0
22148019,S-PMB0P97MB4,0
22148016,S-Y0RREIS2N0,0
22148015,S-DOGLONRAR4,0
22148014,S-XT9S5ZTI06,0
22148012,S-1OPTOG2MMR,0
22148011,S-YDINSBRETA,0
22148009,S-AEQELRXOA0,0
22148008,S-RABHDYMLMD,0
22148005,S-T7TXORAY2N,0
22148004,S-TCDADOARV0,0
22147992,S-YY5PLN69G5,0
22147991,S-SNNRRYR7AS,0
22147990,S-SCDP1O5AR9,0
22147988,S-3YN1OLDZRR,0
22147975,S-YPRHEB4SZR,0
22147974,S-YLQM2NAODE,0
22147955,S-B68C6ORDGT,0
22147914,S-BSR4D0RYNC,0
22147847,S-RLMBIT3T2R,0
22147829,S-YYSLSCBTA9,0
22147828,S-MYYORO13T8,0
22147827,S-ADCN8RYELN,0
22147821,S-IDRAYXERIA,0
22147819,S-7NRSD95BYT,0
22147814,S-YXTM4TBTAR,0
22147802,S-RERSORSLTD,0
22147801,S-BCSNMYNPR4,0
22147800,S-4SSOS6SEIE,0
22147799,S-YON8APTSAT,0
22147778,S-LOOORNAXZD,0
22147772,S-DCBMMBAOP9,0
22147759,S-58OYEETDZP,0
22147757,S-PCERMEE9CR,0
22147745,S-TNYSE41OOD,0
22147742,S-EO7LGS2TBA,0
22147730,S-STOC8XBS1Y,0
22147728,S-6DPSA6PYB5,0
22147724,S-YAHPYNN1NN,0
22147723,S-SCOZTN85CT,0
22147708,S-ANPNADPSDQ,0
22147706,S-2O9HYBEPBM,0
22147691,S-C5ZONAMRNA,0
22147678,S-ARBNYESYNR,0
22147677,S-AYPCAYYMY5,0
22147673,S-CPD7SXYRYR,0
22147672,S-OTS4Y4NS8C,0
22147671,S-6TE8NN01PY,0
22147652,S-ET4AEPG1TX,0
22147651,S-CBCRHO6SST,0
22147650,S-MV5C4IMXBA,0
22147642,S-TB9LOO5P4R,0
22147640,S-ATYAY1NEG5,0
22147638,S-CRONSTMOTT,0
22147637,S-YNQE89OGO8,0
22147627,S-YE482OOGQ3,0
22147624,S-2R3YYOPQT4,0
22147623,S-MBR8IXCET5,0
22147615,S-RTLN9ARS7A,0
22147609,S-M9GDAY2M5E,0
22147588,S-R696SSOYCQ,0
22147585,S-NREERE73CT,0
22147583,S-RBSPRN4V08,0
22147581,S-DLED7RMBYX,0
22147573,S-ZPTSR7NBD7,0
22147572,S-527TRRN9PN,0
22147558,S-OBDO2SOSRR,0
22147546,S-AYSML6RTTY,0
22147544,S-YYRBBNSNAY,0
22147531,S-N9NROTYCHS,0
22147528,S-XSOP91BTXT,0
22147525,S-M9MXBCYM7D,0
22147524,S-1SOMGTDASN,0
22147514,S-PAPDVRAIR4,0
22147510,S-NOZRMNQ1P1,0
22147497,S-NRQO8RRSRM,0
22147486,S-OBYDBS3603,0
22147485,S-CRSRTD2COM,0
22147484,S-9OSSSIECYA,0
22147481,S-DYTH7EYDSO,0
22147460,S-NT66A4ZRML,0
22147459,S-C7DIRRLMRP,0
22147450,S-AR51OM4ERY,0
22147443,S-AVDDRAEANB,0
22147437,S-OVOTYRD0ST,0
22147431,S-SCMMARODSO,0
22147425,S-LG2SYQYTAN,0
22147415,S-MA0DAERTRD,0
22147411,S-1Y7ACMBRZH,0
22147407,S-TS48QET4DY,0
22147403,S-LMYYB6RR7G,0
22147397,S-3EMY3ADMAE,0
22147373,S-A8B7SCNNNS,0
22147354,S-RH31YSH1BD,0
22147351,S-MED9ZYTRDM,0
22147342,S-RXYACY48TE,0
22147336,S-LCTSYSEAYV,0
22147331,S-YQMLG8B9DR,0
22147330,S-GODAMPSHSG,0
22147325,S-MYBDYQYVYG,0
22147323,S-24GZRY5TRT,0
22147318,S-AETZESO632,0
22147313,S-DOPLRCOBYN,0
22147295,S-T9NYY3TSTY,0
22147294,S-PANBMNTPMC,0
22147275,S-TOANN9LRAL,0
22147253,S-RBP2LTXMTS,0
22147229,S-NRTDRDMRVR,0
22147226,S-X9M9MLBTPB,0
22147222,S-TORMYNQAOR,0
